CP,Localidad,Provincia,,,,
1376,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1377,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1378,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1379,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1380,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1381,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1382,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1383,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1384,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1385,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1386,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1387,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1388,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1389,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1390,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1391,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1392,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1393,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1394,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1395,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1396,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1397,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1398,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1399,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1400,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1401,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1402,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1405,CABA - Villa Crespo,Capital Federal,,,,
1406,CABA - Flores,Capital Federal,,,,
1407,CABA - Velez Sarfield,Capital Federal,,,,
1408,CABA - Liniers,Capital Federal,,,,
1409,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1410,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1411,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1412,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1413,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1414,CABA - Caballito,Capital Federal,,,,
1416,CABA - Villa Gral. Mitre,Capital Federal,,,,
1417,CABA - Villa Devoto,Capital Federal,,,,
1419,CABA - Saavedra,Capital Federal,,,,
1420,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1421,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1422,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1423,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1424,CABA - Parque Chacabuco,Capital Federal,,,,
1425,CABA - Palermo,Capital Federal,,,,
1426,CABA - Colegiales,Capital Federal,,,,
1427,CABA - Chacarita,Capital Federal,,,,
1428,CABA - Belgrano,Capital Federal,,,,
1429,CABA - Nu¤ez,Capital Federal,,,,
1430,CABA - Villa Ortuzar,Capital Federal,,,,
1431,CABA - Villa Urquiza,Capital Federal,,,,
1432,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1433,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1434,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1435,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1436,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1437,CABA - Nueva Pompeya,Capital Federal,,,,
1439,CABA - Villa Lugano,Capital Federal,,,,
1440,CABA - Mataderos,Capital Federal,,,,
1453,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1599,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1602,Florida,Buenos Aires,,,,
1603,Villa Martelli,Buenos Aires,,,,
1604,Florida Oeste,Buenos Aires,,,,
1605,Munro,Buenos Aires,,,,
1606,Carapachay,Buenos Aires,,,,
1607,Villa Adelina,Buenos Aires,,,,
1608,Troncos Del Talar,Buenos Aires,,,,
1609,Boulogne,Buenos Aires,,,,
1610,Ricardo Rojas,Buenos Aires,,,,
1611,Don Torcuato,Buenos Aires,,,,
1612,Ingeniero Adolfo Sourdeaux,Buenos Aires,,,,
1613,Los Polvorines,Buenos Aires,,,,
1614,Villa De Mayo,Buenos Aires,,,,
1615,Grand Bourg,Buenos Aires,,,,
1616,Malvinas Argentinas,Buenos Aires,,,,
1616,Pablo Nogues,Buenos Aires,,,,
1617,General Pacheco,Buenos Aires,,,,
1618,El Talar,Buenos Aires,,,,
1619,Garin,Buenos Aires,,,,
1620,Maquinista F Savio,Buenos Aires,,,,
1621,Benavidez,Buenos Aires,,,,
1621,Delta,Buenos Aires,,,,
1622,Dique Lujan,Buenos Aires,,,,
